Markov Baseline 评估结果
==================================================

样本 372: UID=1763, 长度=72, 得分=0.003653
样本 373: UID=1766, 长度=120, 得分=0.008678
样本 374: UID=1767, 长度=157, 得分=0.000001
样本 375: UID=1777, 长度=300, 得分=0.001584
样本 376: UID=1804, 长度=201, 得分=0.113097
样本 377: UID=1807, 长度=124, 得分=0.015929
样本 378: UID=1808, 长度=218, 得分=0.000105
样本 379: UID=1810, 长度=167, 得分=0.012274
样本 380: UID=1817, 长度=201, 得分=0.014446
样本 381: UID=1819, 长度=327, 得分=0.325019
样本 382: UID=1829, 长度=196, 得分=0.001130
样本 383: UID=1833, 长度=174, 得分=0.368578
样本 384: UID=1843, 长度=190, 得分=0.154740
样本 385: UID=1852, 长度=566, 得分=0.033493
样本 386: UID=1860, 长度=104, 得分=0.362731
样本 387: UID=1862, 长度=91, 得分=0.003869
样本 388: UID=1871, 长度=188, 得分=0.125959
样本 389: UID=1873, 长度=188, 得分=0.113823
样本 390: UID=1876, 长度=143, 得分=0.011513
样本 391: UID=1877, 长度=236, 得分=0.088503
样本 392: UID=1884, 长度=289, 得分=0.083632
样本 393: UID=1885, 长度=180, 得分=0.228306
样本 394: UID=1886, 长度=151, 得分=0.011723
样本 395: UID=1887, 长度=271, 得分=0.304885
样本 396: UID=1893, 长度=112, 得分=0.008633
样本 397: UID=1895, 长度=167, 得分=0.009616
样本 398: UID=1897, 长度=153, 得分=0.050839
样本 399: UID=1903, 长度=121, 得分=0.000000

总结统计:
平均得分: 0.075289
成功率: 100.0%
